Date,ADS Change,EPU Change,% FTSE100 Change,Previous Day % FTSE100 Change,% MSCI Change,Vix Close,Change in SWAV
2017-01-05,-0.02082,-42.19999999999993,0.08,0.17,0.48,11.67,0.0073978159970895
2017-01-06,-0.0203489999999999,17.16999999999996,0.2,0.08,0.04,11.32,0.024226682175037
2017-01-11,-0.0189664,-23.99000000000001,0.21,0.52,-0.08,11.26,-0.0017153648417265
2017-01-12,-0.0188253999999999,-85.63,0.03,0.21,0.3,11.54,0.0044666595247541
2017-01-13,-0.0186915,8.0,0.62,0.03,0.27,11.23,-0.0041046694132054
2017-01-18,-0.0161742,-220.96000000000004,0.38,-1.46,0.16,12.48,-0.0006986568411064
2017-01-19,-0.0154303999999999,-187.98,-0.54,0.38,-0.54,12.78,0.0044342215460154
2017-01-20,-0.0146909999999999,163.26999999999992,-0.14,-0.54,0.38,11.54,0.0195201284348689
2017-01-25,-0.013633,188.85,0.2,-0.01,0.85,10.81,-0.0001747111570585
2017-01-26,-0.013776,-171.45,-0.04,0.2,-0.11,10.63,0.00859702311849
2017-01-27,-0.0139259999999999,-72.10999999999999,0.32,-0.04,-0.02,10.58,0.0095596363025228
2017-02-01,-0.0150899999999999,95.32999999999998,0.12,-0.27,0.06,11.81,0.0026316855749805
2017-02-02,-0.014342,-166.45999999999998,0.47,0.12,0.1,11.93,0.0104436613856835
2017-02-03,-0.0136,281.51,0.67,0.47,0.58,10.97,0.0036204062047602
2017-02-08,-0.008149,-13.54000000000002,0.04,0.2,0.28,11.45,-0.0040836574451394
2017-02-09,-0.006828,-103.14,0.57,0.04,0.29,10.88,-0.0013992300956636
2017-02-10,-0.0055099999999999,101.43,0.4,0.57,0.4,10.85,0.0145981016733199
2017-02-15,0.0011959999999999,119.24,0.47,-0.14,0.54,11.97,0.0205323146495843
2017-02-16,0.002556,-279.52000000000004,-0.34,0.47,0.16,11.76,0.0220788363911824
2017-02-17,0.003916,44.75,0.3,-0.34,-0.0,11.49,-0.0131980017362152
2017-02-22,0.0080889999999999,80.93,0.38,-0.34,-0.04,11.74,0.0036938509896196
2017-02-23,0.008577,-56.400000000000034,-0.42,0.38,0.16,11.71,0.0056398280640088
2017-02-24,0.00907,-21.409999999999968,-0.38,-0.42,-0.25,11.47,-0.0017146618153128
