Date,% FTSE100 Change,Previous Day % FTSE100 Change
2017-01-05,0.08,0.17
2017-01-06,0.2,0.08
2017-01-11,0.21,0.52
2017-01-12,0.03,0.21
2017-01-13,0.62,0.03
2017-01-18,0.38,-1.46
2017-01-19,-0.54,0.38
2017-01-20,-0.14,-0.54
2017-01-25,0.2,-0.01
2017-01-26,-0.04,0.2
2017-01-27,0.32,-0.04
2017-02-01,0.12,-0.27
2017-02-02,0.47,0.12
2017-02-03,0.67,0.47
2017-02-08,0.04,0.2
2017-02-09,0.57,0.04
2017-02-10,0.4,0.57
2017-02-15,0.47,-0.14
2017-02-16,-0.34,0.47
2017-02-17,0.3,-0.34
2017-02-22,0.38,-0.34
2017-02-23,-0.42,0.38
2017-02-24,-0.38,-0.42
2017-03-01,1.64,0.14
2017-03-02,-0.01,1.64
2017-03-03,-0.11,-0.01
2017-03-08,-0.06,-0.15
2017-03-09,-0.27,-0.06
2017-03-10,0.38,-0.27
2017-03-15,0.15,-0.13
2017-03-16,0.64,0.15
2017-03-17,0.12,0.64
2017-03-22,-0.73,-0.69
2017-03-23,0.22,-0.73
2017-03-24,-0.05,0.22
2017-03-29,0.41,0.68
2017-03-30,-0.06,0.41
2017-03-31,-0.63,-0.06
2017-04-05,0.13,0.54
2017-04-06,-0.39,0.13
2017-04-07,0.63,-0.39
2017-04-12,-0.22,0.23
2017-04-13,-0.29,-0.22
2017-04-20,0.06,-0.46
2017-04-21,-0.06,0.06
2017-04-26,0.18,0.15
2017-04-27,-0.71,0.18
2017-04-28,-0.46,-0.71
2017-05-04,0.19,-0.21
2017-05-05,0.68,0.19
2017-05-10,0.59,0.57
2017-05-11,0.02,0.59
2017-05-12,0.66,0.02
2017-05-17,-0.25,0.91
2017-05-18,-0.89,-0.25
2017-05-19,0.46,-0.89
2017-05-24,0.4,-0.15
2017-05-25,0.04,0.4
2017-05-26,0.4,0.04
2017-06-01,0.32,-0.09
2017-06-02,0.05,0.32
2017-06-07,-0.62,-0.01
2017-06-08,-0.38,-0.62
2017-06-09,1.04,-0.38
2017-06-14,-0.35,-0.15
2017-06-15,-0.74,-0.35
2017-06-16,0.6,-0.74
2017-06-21,-0.33,-0.68
2017-06-22,-0.11,-0.33
2017-06-23,-0.2,-0.11
2017-06-28,-0.63,-0.17
2017-06-29,-0.51,-0.63
2017-06-30,-0.51,-0.51
2017-07-05,0.14,-0.27
2017-07-06,-0.41,0.14
2017-07-07,0.19,-0.41
2017-07-12,1.19,-0.55
2017-07-13,-0.05,1.19
2017-07-14,-0.47,-0.05
2017-07-19,0.55,-0.19
2017-07-20,0.77,0.55
2017-07-21,-0.47,0.77
2017-07-26,0.24,0.77
2017-07-27,-0.12,0.24
2017-07-28,-1.0,-0.12
2017-08-02,-0.16,0.7
2017-08-03,0.85,-0.16
2017-08-04,0.49,0.85
2017-08-09,-0.59,0.14
2017-08-10,-1.44,-0.59
2017-08-11,-1.08,-1.44
2017-08-16,0.67,0.41
2017-08-17,-0.61,0.67
2017-08-18,-0.86,-0.61
2017-08-23,0.01,0.86
2017-08-24,0.33,0.01
2017-08-25,-0.08,0.33
2017-08-31,0.89,0.38
2017-09-01,0.11,0.89
2017-09-06,-0.25,-0.52
2017-09-07,0.58,-0.25
2017-09-08,-0.26,0.58
2017-09-13,-0.28,-0.17
2017-09-14,-1.14,-0.28
2017-09-15,-1.1,-1.14
2017-09-20,-0.05,0.3
2017-09-21,-0.11,-0.05
2017-09-22,0.64,-0.11
2017-09-27,0.38,-0.21
2017-09-28,0.13,0.38
2017-09-29,0.68,0.13
2017-10-04,-0.01,0.39
2017-10-05,0.54,-0.01
2017-10-06,0.2,0.54
2017-10-11,-0.06,0.4
2017-10-12,0.3,-0.06
2017-10-13,-0.28,0.3
2017-10-18,0.36,-0.14
2017-10-19,-0.26,0.36
2017-10-20,0.0,-0.26
2017-10-25,-1.05,0.03
2017-10-26,0.53,-1.05
2017-10-27,0.25,0.53
2017-11-01,-0.07,0.07
2017-11-02,0.9,-0.07
2017-11-03,0.07,0.9
2017-11-08,0.22,-0.65
2017-11-09,-0.61,0.22
2017-11-10,-0.68,-0.61
2017-11-15,-0.56,-0.01
2017-11-16,0.19,-0.56
2017-11-17,-0.08,0.19
2017-11-22,0.1,0.3
2017-11-23,-0.02,0.1
2017-11-24,-0.1,-0.02
2017-11-29,-0.9,1.04
2017-11-30,-0.9,-0.9
2017-12-01,-0.36,-0.9
2017-12-06,0.28,-0.16
2017-12-07,-0.37,0.28
2017-12-08,1.0,-0.37
2017-12-13,-0.05,0.63
2017-12-14,-0.65,-0.05
2017-12-15,0.57,-0.65
2017-12-20,-0.25,0.09
2017-12-21,1.05,-0.25
2017-12-22,-0.15,1.05
2017-12-29,0.85,0.03
2018-01-04,0.32,0.3
2018-01-05,0.37,0.32
2018-01-10,0.23,0.45
2018-01-11,0.19,0.23
2018-01-12,0.2,0.19
2018-01-17,-0.39,-0.17
2018-01-18,-0.32,-0.39
2018-01-19,0.39,-0.32
2018-01-24,-1.14,0.21
2018-01-25,-0.36,-1.14
2018-01-26,0.65,-0.36
2018-01-31,-0.72,-1.09
2018-02-01,-0.57,-0.72
2018-02-02,-0.63,-0.57
2018-02-07,1.93,-2.64
2018-02-08,-1.49,1.93
2018-02-09,-1.09,-1.49
2018-02-14,0.64,-0.13
2018-02-15,0.29,0.64
2018-02-16,0.83,0.29
2018-02-21,0.48,-0.01
2018-02-22,-0.4,0.48
2018-02-23,-0.11,-0.4
2018-02-28,-0.69,-0.1
2018-03-01,-0.78,-0.69
2018-03-02,-1.47,-0.78
2018-03-07,0.16,0.43
2018-03-08,0.63,0.16
2018-03-09,0.3,0.63
2018-03-14,-0.09,-1.05
2018-03-15,0.1,-0.09
2018-03-16,0.34,0.1
2018-03-21,-0.32,0.26
2018-03-22,-1.23,-0.32
2018-03-23,-0.44,-1.23
2018-03-28,0.64,1.62
2018-03-29,0.17,0.64
2018-04-05,2.35,0.05
2018-04-06,-0.22,2.35
2018-04-11,-0.13,1.0
2018-04-12,0.02,-0.13
2018-04-13,0.09,0.02
2018-04-18,1.26,0.39
2018-04-19,0.16,1.26
2018-04-20,0.54,0.16
2018-04-25,-0.62,0.36
2018-04-26,0.57,-0.62
2018-04-27,1.09,0.57
2018-05-02,0.3,0.15
2018-05-03,-0.54,0.3
2018-05-04,0.86,-0.54
2018-05-10,0.5,1.28
2018-05-11,0.31,0.5
2018-05-16,0.15,0.16
2018-05-17,0.7,0.15
2018-05-18,-0.12,0.7
2018-05-23,-1.13,0.23
2018-05-24,-0.92,-1.13
2018-05-25,0.18,-0.92
2018-05-31,-0.15,0.75
2018-06-01,0.31,-0.15
2018-06-06,0.33,-0.7
2018-06-07,-0.1,0.33
2018-06-08,-0.3,-0.1
2018-06-13,-0.0,-0.43
2018-06-14,0.81,-0.0
2018-06-15,-1.7,0.81
2018-06-20,0.31,-0.36
2018-06-21,-0.93,0.31
2018-06-22,1.67,-0.93
2018-06-27,1.11,0.37
2018-06-28,-0.08,1.11
2018-06-29,0.28,-0.08
2018-07-04,-0.27,0.6
2018-07-05,0.4,-0.27
2018-07-06,0.19,0.4
2018-07-11,-1.3,0.05
2018-07-12,0.78,-1.3
2018-07-13,0.14,0.78
2018-07-18,0.65,0.34
2018-07-19,0.1,0.65
2018-07-20,-0.07,0.1
2018-07-25,-0.66,0.7
2018-07-26,0.06,-0.66
2018-07-27,0.5,0.06
2018-08-01,-1.24,0.62
2018-08-02,-1.01,-1.24
2018-08-03,1.1,-1.01
2018-08-08,0.75,0.71
2018-08-09,-0.45,0.75
2018-08-10,-0.97,-0.45
2018-08-15,-1.49,-0.4
2018-08-16,0.78,-1.49
2018-08-17,0.03,0.78
2018-08-22,0.11,-0.34
2018-08-23,-0.15,0.11
2018-08-24,0.19,-0.15
2018-08-30,-0.62,-0.71
2018-08-31,-1.11,-0.62
2018-09-05,-1.0,-0.62
2018-09-06,-0.87,-1.0
2018-09-07,-0.56,-0.87
2018-09-12,0.55,-0.08
2018-09-13,-0.43,0.55
2018-09-14,0.31,-0.43
2018-09-19,0.42,-0.03
2018-09-20,0.49,0.42
2018-09-21,1.67,0.49
2018-09-26,0.05,0.66
2018-09-27,0.45,0.05
2018-09-28,-0.47,0.45
2018-10-03,0.48,-0.28
2018-10-04,-1.22,0.48
2018-10-05,-1.35,-1.22
2018-10-10,-1.27,0.06
2018-10-11,-1.94,-1.27
2018-10-12,-0.16,-1.94
2018-10-17,-0.07,0.43
2018-10-18,-0.39,-0.07
2018-10-19,0.32,-0.39
2018-10-24,0.11,-1.24
2018-10-25,0.59,0.11
2018-10-26,-0.92,0.59
2018-10-31,1.31,0.14
2018-11-01,-0.19,1.31
2018-11-02,-0.29,-0.19
2018-11-07,1.09,-0.89
2018-11-08,0.33,1.09
2018-11-09,-0.49,0.33
2018-11-14,-0.28,0.01
2018-11-15,0.06,-0.28
2018-11-16,-0.34,0.06
2018-11-21,1.47,-0.76
2018-11-22,-1.28,1.47
2018-11-23,-0.11,-1.28
2018-11-28,-0.18,-0.27
2018-11-29,0.49,-0.18
2018-11-30,-0.83,0.49
2018-12-05,-1.44,-0.56
2018-12-06,-3.15,-1.44
2018-12-07,1.1,-3.15
2018-12-12,1.08,1.27
2018-12-13,-0.04,1.08
2018-12-14,-0.47,-0.04
2018-12-19,0.96,-1.06
2018-12-20,-0.8,0.96
2018-12-21,0.14,-0.8
2019-01-04,2.16,-0.62
2019-01-09,0.66,0.74
2019-01-10,0.52,0.66
2019-01-11,-0.36,0.52
2019-01-16,-0.47,0.58
2019-01-17,-0.4,-0.47
2019-01-18,1.95,-0.4
2019-01-23,-0.85,-0.99
2019-01-24,-0.35,-0.85
2019-01-25,-0.14,-0.35
2019-01-30,1.58,1.29
2019-01-31,0.39,1.58
2019-02-01,0.74,0.39
2019-02-06,-0.06,2.04
2019-02-07,-1.11,-0.06
2019-02-08,-0.32,-1.11
2019-02-13,0.81,0.06
2019-02-14,0.09,0.81
2019-02-15,0.55,0.09
2019-02-20,0.69,-0.56
2019-02-21,-0.85,0.69
2019-02-22,0.16,-0.85
2019-02-27,-0.61,-0.45
2019-02-28,-0.46,-0.61
2019-03-01,0.45,-0.46
2019-03-06,0.17,0.69
2019-03-07,-0.53,0.17
2019-03-08,-0.74,-0.53
2019-03-13,0.11,0.29
2019-03-14,0.37,0.11
2019-03-15,0.6,0.37
2019-03-20,-0.45,0.34
2019-03-21,0.88,-0.45
2019-03-22,-2.01,0.88
2019-03-27,-0.03,0.26
2019-03-28,0.56,-0.03
2019-03-29,0.62,0.56
2019-04-03,0.37,1.01
2019-04-04,-0.22,0.37
2019-04-05,0.61,-0.22
2019-04-10,-0.05,-0.35
2019-04-11,-0.05,-0.05
2019-04-12,0.26,-0.05
2019-04-17,0.02,0.44
2019-04-18,-0.15,0.02
2019-04-25,-0.5,-0.68
